Materia;Curso;Nombre;Docentes;Dia;Inicio;Fin;Clase;Vacantes;Aula;Sede
6103;2A;ANALISIS MATEMATICO II A;ACERO, FERNANDO RODOLFO - GARCIA, ADRIANA EVA - PETROVICH, JOSE LUIS ALEJANDRO;Ju;9:00;11:00;PO;28;302;PC
6103;2A;ANALISIS MATEMATICO II A;ACERO, FERNANDO RODOLFO - GARCIA, ADRIANA EVA - PETROVICH, JOSE LUIS ALEJANDRO;Ma;9:00;11:00;PO;28;302;PC
6103;2A;ANALISIS MATEMATICO II A;ACERO, FERNANDO RODOLFO - GARCIA, ADRIANA EVA - PETROVICH, JOSE LUIS ALEJANDRO;Ju;7:00;9:00;TO;28;403;PC
6103;2A;ANALISIS MATEMATICO II A;ACERO, FERNANDO RODOLFO - GARCIA, ADRIANA EVA - PETROVICH, JOSE LUIS ALEJANDRO;Ma;7:00;9:00;TO;28;403;PC
6103;2B;ANALISIS MATEMATICO II A;ACERO, FERNANDO RODOLFO - LOPEZ, CLAUDIA ANDREA - A DESIGNAR, A DESIGNAR;Ju;7:00;9:00;TO;28;403;PC
6103;2B;ANALISIS MATEMATICO II A;ACERO, FERNANDO RODOLFO - LOPEZ, CLAUDIA ANDREA - A DESIGNAR, A DESIGNAR;Ju;9:00;11:00;PO;28;418;PC
6103;2B;ANALISIS MATEMATICO II A;ACERO, FERNANDO RODOLFO - LOPEZ, CLAUDIA ANDREA - A DESIGNAR, A DESIGNAR;Ma;9:00;11:00;PO;28;418;PC
6103;2B;ANALISIS MATEMATICO II A;ACERO, FERNANDO RODOLFO - LOPEZ, CLAUDIA ANDREA - A DESIGNAR, A DESIGNAR;Ma;7:00;9:00;TO;28;403;PC
6103;4A;ANALISIS MATEMATICO II A;ZITTO, MIGUEL EDUARDO - GOMEZ CIAPPONI, LAUTARO - A DESIGNAR, A DESIGNAR;Ma;11:00;13:00;TO;28;400;PC
6103;4A;ANALISIS MATEMATICO II A;ZITTO, MIGUEL EDUARDO - GOMEZ CIAPPONI, LAUTARO - A DESIGNAR, A DESIGNAR;Ma;9:00;11:00;PO;28;400;PC
